symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference,fileSize,attFileSize,hasXbrl
CENTURYPLY,Shareholders meeting,20112025165829,https://nsearchives.nseindia.com/corporate/CENTURYPLY_20112025165812_CPIL_Notice_of_Postal_Ballot.pdf,Century Plyboards (India) Limited,INE348B01021,20-Nov-2025 16:58:29,2025-11-20 16:58:29,106450998,Construction,,Century Plyboards (India) Limited has informed the Exchange regarding Notice of Postal Ballot,,,,20-Nov-2025 16:58:29,00:00:00,821.39 KB,821.39 KB,True
SANATHAN,Analysts/Institutional Investor Meet/Con. Call Updates,20112025165714,https://nsearchives.nseindia.com/corporate/SANATHAN_20112025165704_STLInvestors_Meet24112025.pdf,Sanathan Textiles Limited,INE0JPD01013,20-Nov-2025 16:57:14,2025-11-20 16:57:14,106450997,,,"Sanathan Textiles Limited has informed the Exchange about Schedule of meet of Analysts/Institutional Investors on November 24, 2025.",,,,20-Nov-2025 16:57:15,00:00:01,321.53 KB,321.53 KB,True
ENIL,General Updates,20112025165637,https://nsearchives.nseindia.com/corporate/ENIL_20112025165625_ENIL20251120litigationSIMCA.pdf,Entertainment Network (India) Limited,INE265F01028,20-Nov-2025 16:56:37,2025-11-20 16:56:37,106450996,Media & Entertainment,,Entertainment Network (India) Limited has informed the Exchange about General Updates,,,,20-Nov-2025 16:56:38,00:00:01,420.20 KB,420.20 KB,True
ALKEM,Press Release,20112025165616,https://nsearchives.nseindia.com/corporate/ALKEM_20112025165551_cover_letterwithpr_Signed.pdf,Alkem Laboratories Limited,INE540L01014,20-Nov-2025 16:56:16,2025-11-20 16:56:16,106450995,,,"Alkem Laboratories Limited has informed the Exchange regarding a press release dated November 20, 2025, titled ""Press Release   Alkem launches probiotic  DSS , the original De Simone  formulation, in India for gut health management"".",,,,20-Nov-2025 16:56:17,00:00:01,423.76 KB,423.76 KB,True
BANKINDIA,General Updates,20112025165558,https://nsearchives.nseindia.com/corporate/BANKINDIA5_20112025163617_RBIPenalty201125.pdf,Bank of India,INE084A01016,20-Nov-2025 16:55:58,2025-11-20 16:55:58,106450994,Banks,,Bank Of India has informed the Exchange about General Updates,,,,20-Nov-2025 16:55:58,00:00:00,73.54 KB,73.54 KB,True
FEDERALBNK,Analysts/Institutional Investor Meet/Con. Call Updates,20112025165453,https://nsearchives.nseindia.com/corporate/FEDERALBNK_20112025165430_SE_Intimation_Investor_Meet_201125_1_1_S.pdf,The Federal Bank  Limited,INE171A01011,20-Nov-2025 16:54:53,2025-11-20 16:54:53,106450992,Banks,,The Federal Bank  Limited has informed the Exchange about Schedule of meet,,,,20-Nov-2025 16:54:53,00:00:00,256.13 KB,256.13 KB,True
JSFB,Change in Management,20112025164849,https://nsearchives.nseindia.com/corporate/sanath_rao_janabank_com_20112025164831_Part_Time_Chairperson.pdf,Jana Small Finance Bank Limited,INE953L01027,20-Nov-2025 16:48:49,2025-11-20 16:48:49,106450988,,,Jana Small Finance Bank Limited has informed the Exchange about change in Management,,,,20-Nov-2025 16:48:51,00:00:02,1.20 MB,1.20 MB,True
AMBUJACEM,Scheme of Arrangement,20112025164833,https://nsearchives.nseindia.com/corporate/AMBUJACEM_20112025164811_ACL_Order_Merged.pdf,Ambuja Cements Limited,INE079A01024,20-Nov-2025 16:48:33,2025-11-20 16:48:33,106450987,Cement And Cement Products,,Ambuja Cements Limited has informed the Exchange about update on NCLT Order date 31st October 2025: Corrigendum to the Order dated 19th November 2025,,,,20-Nov-2025 16:48:34,00:00:01,2.26 MB,2.26 MB,True
INDIAMART,Analysts/Institutional Investor Meet/Con. Call Updates,20112025164720,https://nsearchives.nseindia.com/corporate/INDIAMART_20112025164635_InvestorMeetDisclosure20112025.pdf,Indiamart Intermesh Limited,INE933S01016,20-Nov-2025 16:47:20,2025-11-20 16:47:20,106450986,,,Indiamart Intermesh Limited has informed the Exchange about Schedule of meet,,,,20-Nov-2025 16:47:21,00:00:01,598.00 KB,598.00 KB,True
LGEINDIA,Analysts/Institutional Investor Meet/Con. Call Updates,20112025164643,https://nsearchives.nseindia.com/corporate/LGEINDIA_20112025164602_Intimation_Investor_Analyst_meet.pdf,LG Electronics India Limited,INE324D01010,20-Nov-2025 16:46:43,2025-11-20 16:46:43,106450985,,,LG Electronics India Limited has informed the Exchange about Schedule of meet,,,,20-Nov-2025 16:46:44,00:00:01,196.25 KB,196.25 KB,True
WSI,Copy of Newspaper Publication,20112025164605,https://nsearchives.nseindia.com/corporate/WSI_20112025164550_WSI_Submission_Newspaper_Copies_SD.pdf,W S Industries (I) Limited,INE100D01014,20-Nov-2025 16:46:05,2025-11-20 16:46:05,106450984,Electrical Equipment,,W S Industries (I) Limited has informed the Exchange about Copy of Newspaper Publication,,,,20-Nov-2025 16:46:05,00:00:00,7.21 MB,7.21 MB,True
JSWENERGY,General Updates,20112025164303,https://nsearchives.nseindia.com/corporate/RITESHJSWEL_20112025164231_RCRIPLResolutionplan.pdf,JSW Energy Limited,INE121E01018,20-Nov-2025 16:43:03,2025-11-20 16:43:03,106450983,Power,,JSW Energy Limited has informed the Exchange about Approval of the Company s resolution plan for Raigarh Champa Rail Infrastructure Private Limited by the Committee of Creditors,,,,20-Nov-2025 16:43:04,00:00:01,402.09 KB,402.09 KB,True
PACEDIGITK,General Updates,20112025163915,https://nsearchives.nseindia.com/corporate/PACE_20112025163902_Intimation_on_Outcome_of_Investor_Call.pdf,Pace Digitek Limited,INE0S3G01027,20-Nov-2025 16:39:15,2025-11-20 16:39:15,106450979,,,Pace Digitek Limited has informed the Exchange about General Updates,,,,20-Nov-2025 16:39:15,00:00:00,365.99 KB,365.99 KB,True
LTFOODS,Analysts/Institutional Investor Meet/Con. Call Updates,20112025163723,https://nsearchives.nseindia.com/corporate/532783_20112025163711_InvestorsCall.pdf,LT Foods Limited,INE818H01020,20-Nov-2025 16:37:23,2025-11-20 16:37:23,106450977,,,LT Foods Limited has informed the Exchange about Schedule of meet,,,,20-Nov-2025 16:37:24,00:00:01,430.90 KB,430.90 KB,True
NGLFINE,Analysts/Institutional Investor Meet/Con. Call Updates,20112025163619,https://nsearchives.nseindia.com/corporate/NGL2022_20112025163602_Concalltranscript18Nov2025.pdf,NGL Fine-Chem Limited,INE887E01022,20-Nov-2025 16:36:19,2025-11-20 16:36:19,106450976,,,NGL Fine-Chem Limited has informed the Exchange about Transcript,,,,20-Nov-2025 16:36:20,00:00:01,491.09 KB,491.09 KB,True
NATCOPHARM,Analysts/Institutional Investor Meet/Con. Call Updates,20112025163552,https://nsearchives.nseindia.com/corporate/NATCOPHARM_20112025163532_Q2EarningscallTranscript.pdf,Natco Pharma Limited,INE987B01018,20-Nov-2025 16:35:52,2025-11-20 16:35:52,106450975,Pharmaceuticals,,Natco Pharma Limited has informed the Exchange about Transcript,,,,20-Nov-2025 16:35:54,00:00:02,415.44 KB,415.44 KB,True
ROSSTECH,Credit Rating,20112025163547,https://nsearchives.nseindia.com/corporate/9886945009_20112025163518_upload.pdf,Rossell Techsys Limited,INE0OJW01016,20-Nov-2025 16:35:47,2025-11-20 16:35:47,106450974,,,Rossell Techsys Limited has informed the Exchange about Credit Rating,,,,20-Nov-2025 16:35:48,00:00:01,2.26 MB,2.26 MB,True
TITAN,Analysts/Institutional Investor Meet/Con. Call Updates,20112025163538,https://nsearchives.nseindia.com/corporate/TITAN_20112025163458_SEintimation.pdf,Titan Company Limited,INE280A01010,20-Nov-2025 16:35:38,2025-11-20 16:35:38,106450973,Gems Jewellery And Watches,,Titan Company Limited has informed the Exchange about Schedule of Analyst / Institutional Investor Meeting.,,,,20-Nov-2025 16:35:39,00:00:01,213.49 KB,213.49 KB,True
RALLIS,Analysts/Institutional Investor Meet/Con. Call Updates,20112025163341,https://nsearchives.nseindia.com/corporate/RALLIS1_20112025163303_AnalystCall_November2025_SIGNED.pdf,Rallis India Limited,INE613A01012,20-Nov-2025 16:33:41,2025-11-20 16:33:41,106450972,Pesticides And Agrochemicals,,Rallis India Limited has informed the Exchange about Schedule of meet,,,,20-Nov-2025 16:33:42,00:00:01,215.88 KB,215.88 KB,True
AETHER,Analysts/Institutional Investor Meet/Con. Call Updates,20112025163221,https://nsearchives.nseindia.com/corporate/AETHER_20112025163213_47C.pdf,Aether Industries Limited,INE0BWX01014,20-Nov-2025 16:32:21,2025-11-20 16:32:21,106450971,,,Aether Industries Limited has informed the Exchange about Outcome,,,,20-Nov-2025 16:32:22,00:00:01,261.30 KB,261.30 KB,True
CARRARO,Analysts/Institutional Investor Meet/Con. Call Updates,20112025163139,https://nsearchives.nseindia.com/corporate/CARRARO_SAJIRI_20112025161925_CILIntimationofInvestorMeetOn261125_Signed.pdf,Carraro India Limited,INE0V7W01012,20-Nov-2025 16:31:39,2025-11-20 16:31:39,106450970,,,Carraro India Limited has informed the Exchange about Schedule of meet,,,,20-Nov-2025 16:31:41,00:00:02,247.53 KB,247.53 KB,True
NIITLTD,Allotment of Securities,20112025163124,https://nsearchives.nseindia.com/corporate/RARORA_20112025163058_SEESOPAllotment20112025.pdf,NIIT Limited,INE161A01038,20-Nov-2025 16:31:24,2025-11-20 16:31:24,106450968,Computers - Software,,"NIIT Limited has informed the Exchange regarding allotment of 6655 securities pursuant to ESOP/ESPS at its meeting held on November 20, 2025",,,,20-Nov-2025 16:31:25,00:00:01,211.22 KB,211.22 KB,True
COMPINFO,Corporate Insolvency Resolution Process,20112025163038,https://nsearchives.nseindia.com/corporate/COMPINFO_20112025163010_Intimation_letter_for_outcome_of_meeting.pdf,Compuage Infocom Limited,INE070C01029,20-Nov-2025 16:30:38,2025-11-20 16:30:38,106450967,,,"Compuage Infocom Limited has informed the Exchange about the outcomes of  22nd  COC meeting was held on Saturday, 15th November 2025 at 12:00 P.M. and subsequently adjourned to Tuesday, 18th November 2025 at 04:30 P.M.",,,,20-Nov-2025 16:30:39,00:00:01,476.89 KB,476.89 KB,True
IL&FSTRANS,Updates,20112025163016,https://nsearchives.nseindia.com/corporate/jyotsnam_20112025163001_Media_Release_to_NSE_and_BSE_ITNL_signed.pdf,IL&FS Transportation Networks Limited,INE975G01012,20-Nov-2025 16:30:16,2025-11-20 16:30:16,106450966,Travel And Transport,,IL&FS Transportation Networks Limited has informed the Exchange regarding 'Media Release'.,,,,20-Nov-2025 16:30:17,00:00:01,380.74 KB,380.74 KB,True
MANAKSIA,General Updates,20112025162428,https://nsearchives.nseindia.com/corporate/MANAKSIA_20112025162410_SE_Intimation_NCLT_convened_meeting.pdf,Manaksia Limited,INE015D01022,20-Nov-2025 16:24:28,2025-11-20 16:24:28,106450963,Steel And Steel Products,,"Manaksia Limited has informed the Exchange about order of NCLT for convening meeting of equity shareholders on 10th January, 2026",,,,20-Nov-2025 16:24:29,00:00:01,875.99 KB,875.99 KB,True
IRB,Updates,20112025162408,https://nsearchives.nseindia.com/corporate/IRB_20112025161715_Astra_-_SE_Disclosure_Invitation__Sponsor__-_VM7_sd.pdf,IRB Infrastructure Developers Limited,INE821I01014,20-Nov-2025 16:24:08,2025-11-20 16:24:08,106450962,Construction,,IRB Infrastructure Developers Limited has informed the Exchange regarding 'Invitation to offer for the acquisition of VM7 Expressway Private Limited (VM7) to the IRB InvIT Fund'.,,,,20-Nov-2025 16:24:09,00:00:01,650.04 KB,650.04 KB,True
YATHARTH,Analysts/Institutional Investor Meet/Con. Call Updates,20112025162311,https://nsearchives.nseindia.com/corporate/YATHARTH_20112025162258_TS_merged.pdf,Yatharth Hospital & Trauma Care Services Limited,INE0JO301016,20-Nov-2025 16:23:11,2025-11-20 16:23:11,106450961,,,We hereby submit Earnings Call Transcript Q2 FY26.,,,,20-Nov-2025 16:23:12,00:00:01,1008.21 KB,1008.21 KB,True
VOLTAS,Analysts/Institutional Investor Meet/Con. Call Updates,20112025162133,https://nsearchives.nseindia.com/corporate/VOLTAS_RB_20112025161917_SETranscriptletter.pdf,Voltas Limited,INE226A01021,20-Nov-2025 16:21:33,2025-11-20 16:21:33,106450960,Engineering,,Voltas Limited has informed the Exchange about Transcript,,,,20-Nov-2025 16:21:34,00:00:01,1.02 MB,1.02 MB,True
PIRAMALFIN,Shareholders meeting,20112025161947,https://nsearchives.nseindia.com/corporate/Piramalcapital_20112025161932_PFL__Intimation_for_Notice_of_Postal_Ballot_s.pdf,Piramal Finance Limited,INE202B01038,20-Nov-2025 16:19:47,2025-11-20 16:19:47,106450959,,,Piramal Finance Limited (Formerly known as Piramal Capital & Housing Finance Limited) has informed the Exchange regarding Notice of Postal Ballot,,,,20-Nov-2025 16:19:48,00:00:01,659.19 KB,659.19 KB,True
HYUNDAI,General Updates,20112025161929,https://nsearchives.nseindia.com/corporate/HMILNSE_20112025161140_DisclosureforAcquisition20112025Final.pdf,Hyundai Motor India Limited,INE0V6F01027,20-Nov-2025 16:19:29,2025-11-20 16:19:29,106450958,,,Hyundai Motor India Limited has informed the Exchange about General Updates,,,,20-Nov-2025 16:19:29,00:00:00,1.01 MB,1.01 MB,True
CSBBANK,Analysts/Institutional Investor Meet/Con. Call Updates,20112025161751,https://nsearchives.nseindia.com/corporate/CSBBANK_20112025161510_IntimationofAnalystMeet20112025f.pdf,CSB Bank Limited,INE679A01013,20-Nov-2025 16:17:51,2025-11-20 16:17:51,106450956,,,CSB Bank Limited has informed the Exchange about Analysts/Institutional Investor Meet/Con. Call Updates,,,,20-Nov-2025 16:17:53,00:00:02,562.13 KB,562.13 KB,True
EIHOTEL,Analysts/Institutional Investor Meet/Con. Call Updates,20112025161726,https://nsearchives.nseindia.com/corporate/EIHOTEL01_20112025161650_EIHSTX_transcript.pdf,EIH Limited,INE230A01023,20-Nov-2025 16:17:26,2025-11-20 16:17:26,106450955,Hotels,,EIH Limited has informed the Exchange about Transcript,,,,20-Nov-2025 16:17:27,00:00:01,885.76 KB,885.76 KB,True
SPAL,Analysts/Institutional Investor Meet/Con. Call Updates,20112025161721,https://nsearchives.nseindia.com/corporate/SPAL_20112025161706_coveringletter.pdf,S. P. Apparels Limited,INE212I01016,20-Nov-2025 16:17:21,2025-11-20 16:17:21,106450954,,,S. P. Apparels Limited has informed the Exchange about Transcript,,,,20-Nov-2025 16:17:22,00:00:01,496.81 KB,496.81 KB,True
GODREJIND,General Updates,20112025161653,https://nsearchives.nseindia.com/corporate/Anupama_20112025161622_BSENSENRCOUTCOME20112025.pdf,Godrej Industries Limited,INE233A01035,20-Nov-2025 16:16:53,2025-11-20 16:16:53,106450953,Chemicals - Inorganic,,"Godrej Industries Limited has informed the Exchange regarding an update pertaining to Godrej Industries Limited   Employee Stock Grant Scheme, 2011 (ESGS 2011).",,,,20-Nov-2025 16:16:54,00:00:01,229.11 KB,229.11 KB,True
